trial_id,source_trial_id,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,target_image,target_role
isolated_list1_d022_set1_it_coh_list1,d022_set1_it_coh_list1,1,22,022_come_push_chest,come_push_chest,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,85,../psychopy_gurung_v1/JpegStimuliFullRes/22_come_push chest/1/it_target.jpg,it_target
isolated_list1_d022_set2_tr_coh_list1,d022_set2_tr_coh_list1,1,22,022_come_push_chest,come_push_chest,2,tr_coh,transitive_cohesive,cohesive,transitive,1,86,../psychopy_gurung_v1/JpegStimuliFullRes/22_come_push chest/2/tr_target.jpg,tr_target
isolated_list1_d022_set3_tr_coh_list1,d022_set3_tr_coh_list1,1,22,022_come_push_chest,come_push_chest,3,tr_coh,transitive_cohesive,cohesive,transitive,1,87,../psychopy_gurung_v1/JpegStimuliFullRes/22_come_push chest/3/tr_target.jpg,tr_target
isolated_list1_d022_set4_it_coh_list1,d022_set4_it_coh_list1,1,22,022_come_push_chest,come_push_chest,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,88,../psychopy_gurung_v1/JpegStimuliFullRes/22_come_push chest/4/it_target.jpg,it_target
isolated_list1_d023_set1_it_coh_list1,d023_set1_it_coh_list1,1,23,023_stand_tear_paper,stand_tear_paper,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,89,../psychopy_gurung_v1/JpegStimuliFullRes/23_stand_tear paper/1/it_target.jpg,it_target
isolated_list1_d023_set2_tr_coh_list1,d023_set2_tr_coh_list1,1,23,023_stand_tear_paper,stand_tear_paper,2,tr_coh,transitive_cohesive,cohesive,transitive,1,90,../psychopy_gurung_v1/JpegStimuliFullRes/23_stand_tear paper/2/tr_target.jpg,tr_target
isolated_list1_d023_set3_tr_coh_list1,d023_set3_tr_coh_list1,1,23,023_stand_tear_paper,stand_tear_paper,3,tr_coh,transitive_cohesive,cohesive,transitive,1,91,../psychopy_gurung_v1/JpegStimuliFullRes/23_stand_tear paper/3/tr_target.jpg,tr_target
isolated_list1_d023_set4_it_coh_list1,d023_set4_it_coh_list1,1,23,023_stand_tear_paper,stand_tear_paper,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,92,../psychopy_gurung_v1/JpegStimuliFullRes/23_stand_tear paper/4/it_target.jpg,it_target
isolated_list1_d024_set1_it_coh_list1,d024_set1_it_coh_list1,1,24,024_descend_paint_bench,descend_paint_bench,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,93,../psychopy_gurung_v1/JpegStimuliFullRes/24_descend_paint bench/1/it_target.jpg,it_target
isolated_list1_d024_set2_tr_coh_list1,d024_set2_tr_coh_list1,1,24,024_descend_paint_bench,descend_paint_bench,2,tr_coh,transitive_cohesive,cohesive,transitive,1,94,../psychopy_gurung_v1/JpegStimuliFullRes/24_descend_paint bench/2/tr_target.jpg,tr_target
isolated_list1_d024_set3_tr_coh_list1,d024_set3_tr_coh_list1,1,24,024_descend_paint_bench,descend_paint_bench,3,tr_coh,transitive_cohesive,cohesive,transitive,1,95,../psychopy_gurung_v1/JpegStimuliFullRes/24_descend_paint bench/3/tr_target.jpg,tr_target
isolated_list1_d024_set4_it_coh_list1,d024_set4_it_coh_list1,1,24,024_descend_paint_bench,descend_paint_bench,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,96,../psychopy_gurung_v1/JpegStimuliFullRes/24_descend_paint bench/4/it_target.jpg,it_target
