original_trial_index,recovery_source,trial_id,random_order,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
21,participant_261_csv_screenshots_2026-08-26,d025_set4_it_coh_list1,199,1,25,025_yawn_lock_door,yawn_lock_door,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,100,4,JpegStimuliFullRes/25_yawn_lock door/4/coh_1.jpg,coh_1,JpegStimuliFullRes/25_yawn_lock door/4/coh_2.jpg,coh_2,JpegStimuliFullRes/25_yawn_lock door/4/it_target.jpg,it_target,JpegStimuliFullRes/25_yawn_lock door/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/25_yawn_lock door
22,participant_261_csv_screenshots_2026-08-26,d007_set1_tr_ic_list1,50,1,7,007_sit_make_fire,sit_make_fire,1,tr_ic,transitive_incohesive,incohesive,transitive,2,25,3,JpegStimuliFullRes/7_sit_make fire/1/ic_1.jpg,ic_1,JpegStimuliFullRes/7_sit_make fire/1/tr_target.jpg,tr_target,JpegStimuliFullRes/7_sit_make fire/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/7_sit_make fire
23,participant_261_csv_screenshots_2026-08-26,d030_set3_it_ic_list1,238,1,30,030_smile_make_momos,smile_make_momos,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,119,3,JpegStimuliFullRes/30_smile_make momos/3/ic_1.jpg,ic_1,JpegStimuliFullRes/30_smile_make momos/3/it_target.jpg,it_target,JpegStimuliFullRes/30_smile_make momos/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/30_smile_make momos
24,participant_261_csv_screenshots_2026-08-26,d025_set1_tr_ic_list1,194,1,25,025_yawn_lock_door,yawn_lock_door,1,tr_ic,transitive_incohesive,incohesive,transitive,2,97,3,JpegStimuliFullRes/25_yawn_lock door/1/ic_1.jpg,ic_1,JpegStimuliFullRes/25_yawn_lock door/1/tr_target.jpg,tr_target,JpegStimuliFullRes/25_yawn_lock door/1/end_ic_tr.jpg,end_ic_tr,,,,0,,0,JpegStimuliFullRes/25_yawn_lock door
25,participant_261_csv_screenshots_2026-08-26,d004_set2_tr_coh_list1,27,1,4,004_run_drink_tea,run_drink_tea,2,tr_coh,transitive_cohesive,cohesive,transitive,1,14,3,JpegStimuliFullRes/4_run_drink tea/2/coh_1.jpg,coh_1,JpegStimuliFullRes/4_run_drink tea/2/coh_2.jpg,coh_2,JpegStimuliFullRes/4_run_drink tea/2/tr_target.jpg,tr_target,,,,0,,0,JpegStimuliFullRes/4_run_drink tea
26,participant_261_csv_screenshots_2026-08-26,d023_set2_it_ic_list1,180,1,23,023_stand_tear_paper,stand_tear_paper,2,it_ic,intransitive_incohesive,incohesive,intransitive,4,90,3,JpegStimuliFullRes/23_stand_tear paper/2/ic_1.jpg,ic_1,JpegStimuliFullRes/23_stand_tear paper/2/it_target.jpg,it_target,JpegStimuliFullRes/23_stand_tear paper/2/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/23_stand_tear paper
27,participant_261_csv_screenshots_2026-08-26,d011_set4_it_coh_list1,87,1,11,011_ascend_wipe_plate,ascend_wipe_plate,4,it_coh,intransitive_cohesive,cohesive,intransitive,3,44,4,JpegStimuliFullRes/11_ascend_wipe plate/4/coh_1.jpg,coh_1,JpegStimuliFullRes/11_ascend_wipe plate/4/coh_2.jpg,coh_2,JpegStimuliFullRes/11_ascend_wipe plate/4/it_target.jpg,it_target,JpegStimuliFullRes/11_ascend_wipe plate/4/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/11_ascend_wipe plate
28,participant_261_csv_screenshots_2026-08-26,d014_set3_it_ic_list1,110,1,14,014_ascend_weave_raincoat,ascend_weave_raincoat,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,55,3,JpegStimuliFullRes/14_ascend_weave raincoat/3/ic_1.jpg,ic_1,JpegStimuliFullRes/14_ascend_weave raincoat/3/it_target.jpg,it_target,JpegStimuliFullRes/14_ascend_weave raincoat/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/14_ascend_weave raincoat
29,participant_261_csv_screenshots_2026-08-26,d024_set1_it_coh_list1,185,1,24,024_descend_paint_bench,descend_paint_bench,1,it_coh,intransitive_cohesive,cohesive,intransitive,3,93,4,JpegStimuliFullRes/24_descend_paint bench/1/coh_1.jpg,coh_1,JpegStimuliFullRes/24_descend_paint bench/1/coh_2.jpg,coh_2,JpegStimuliFullRes/24_descend_paint bench/1/it_target.jpg,it_target,JpegStimuliFullRes/24_descend_paint bench/1/end_coh_it.jpg,end_coh_it,,0,,0,JpegStimuliFullRes/24_descend_paint bench
30,participant_261_csv_screenshots_2026-08-26,d010_set3_it_ic_list1,78,1,10,010_run_cook_pancakes,run_cook_pancakes,3,it_ic,intransitive_incohesive,incohesive,intransitive,4,39,3,JpegStimuliFullRes/10_run_cook pancakes/3/ic_1.jpg,ic_1,JpegStimuliFullRes/10_run_cook pancakes/3/it_target.jpg,it_target,JpegStimuliFullRes/10_run_cook pancakes/3/end_ic_it.jpg,end_ic_it,,,,0,,0,JpegStimuliFullRes/10_run_cook pancakes
