index,status,source_relative,target_relative,source_bytes,source_width,source_height,source_colorspace,target_bytes,target_width,target_height,target_colorspace,target_sha256
56,skipped_exists,2_stand_weave basket/3/tr_target.png,2_stand_weave basket/3/tr_target.jpg,2695710,1024,1536,sRGB,303993,1024,1536,sRGB,64144124fbe205778db2c0f13555b91a53e4d81284fd777b7df11c0b8606cda0
57,skipped_exists,2_stand_weave basket/4/coh_1.png,2_stand_weave basket/4/coh_1.jpg,2600749,1024,1536,sRGB,275452,1024,1536,sRGB,daafbce922e9f4acde04c3b9d6bd2d235d4c32df4f07c8dd27bd9685e7a07471
58,skipped_exists,2_stand_weave basket/4/coh_2.png,2_stand_weave basket/4/coh_2.jpg,2606816,1024,1536,sRGB,298929,1024,1536,sRGB,51536924fb2a42d2ad6e8525023a8abc4e1ea93da7f9f3fd84cdb547bf46a85a
59,skipped_exists,2_stand_weave basket/4/end_coh_it.png,2_stand_weave basket/4/end_coh_it.jpg,2720569,1024,1536,sRGB,316711,1024,1536,sRGB,3f64da44d1f102e53be67d7369e93edf84eadb5db779dcf94407fc1ea565326b
60,skipped_exists,2_stand_weave basket/4/end_ic_it.png,2_stand_weave basket/4/end_ic_it.jpg,2677651,1024,1536,sRGB,299084,1024,1536,sRGB,50f1b4dbd848fcc2f40a579ed8609c99c6b162d9ac592d260d1daa847e70f1a2
61,skipped_exists,2_stand_weave basket/4/end_ic_tr.png,2_stand_weave basket/4/end_ic_tr.jpg,2579584,1024,1536,sRGB,294004,1024,1536,sRGB,dcb620bade8ba3557eb3bc60e4d28e0830892c260da7b5869bcb0339c6afdce9
62,skipped_exists,2_stand_weave basket/4/ic_1.png,2_stand_weave basket/4/ic_1.jpg,2452499,1024,1536,sRGB,331061,1024,1536,sRGB,ab32354170a5a5f161d5cb7dd26eaaa8ae08d4674a294785bc2302e1700ab96e
63,skipped_exists,2_stand_weave basket/4/it_target.png,2_stand_weave basket/4/it_target.jpg,2511485,1024,1536,sRGB,263857,1024,1536,sRGB,84b7bb2660d84bec0361b4b64affddae39c75607d35303adb75df6c41786a58a
64,skipped_exists,2_stand_weave basket/4/tr_target.png,2_stand_weave basket/4/tr_target.jpg,2619261,1024,1536,sRGB,293500,1024,1536,sRGB,a6562f3374cb1e22653a11369a8b8b5c5eb98dd8d6846b62b7cd0723aafb75c8
65,skipped_exists,3_rest_cook fish/1/coh_1.png,3_rest_cook fish/1/coh_1.jpg,2960157,1024,1536,sRGB,320501,1024,1536,sRGB,e22e3be4885f9e247ad00566e6649a3de0051581e3c7ae838e43f6d6623407f2
66,skipped_exists,3_rest_cook fish/1/coh_2.png,3_rest_cook fish/1/coh_2.jpg,2978561,1024,1536,sRGB,325557,1024,1536,sRGB,87e2e2f7c3c8094dc125b8ee5beecd1c6721fbb1318db22a17ff35be6152524b
67,skipped_exists,3_rest_cook fish/1/end_coh_it.png,3_rest_cook fish/1/end_coh_it.jpg,3013633,1024,1536,sRGB,352695,1024,1536,sRGB,d998e38416b4019aceb020be49bbaf2154e34ffd6eee0ed43b0e43801e25e633
68,skipped_exists,3_rest_cook fish/1/end_ic_it.png,3_rest_cook fish/1/end_ic_it.jpg,2968746,1024,1536,sRGB,353408,1024,1536,sRGB,702a461633da789c9db7649c2b8ee45ce3b452bee7ab5ab7aadc0aef089bff66
69,skipped_exists,3_rest_cook fish/1/end_ic_tr.png,3_rest_cook fish/1/end_ic_tr.jpg,2254579,1024,1536,sRGB,201549,1024,1536,sRGB,b8db2de6c7769c6ce6ee9e120e64c5b790e8ee77101c6703b97aafaccc0f9d69
70,skipped_exists,3_rest_cook fish/1/ic_1.png,3_rest_cook fish/1/ic_1.jpg,2890358,1024,1536,sRGB,350186,1024,1536,sRGB,d245fbe076fa84262f7f2fb72de50b5b4e505ec2a347baff540ac3056200cad3
71,skipped_exists,3_rest_cook fish/1/it_target.png,3_rest_cook fish/1/it_target.jpg,2551151,1024,1536,sRGB,284087,1024,1536,sRGB,6be9abc16adacd3d1a0a3981e20fa12bcabd3fe00b836dd3eed7391a6447e892
72,skipped_exists,3_rest_cook fish/1/tr_target.png,3_rest_cook fish/1/tr_target.jpg,2088991,1024,1536,sRGB,169122,1024,1536,sRGB,b4b47b13c9c601b97fe5133693980698bd234d6d3874c04e369ac27eb373c7d9
73,skipped_exists,3_rest_cook fish/2/coh_1.png,3_rest_cook fish/2/coh_1.jpg,2780376,1024,1536,sRGB,307394,1024,1536,sRGB,aee22bea39470a913592871f99bc3547af9baddb1847829764c37485c2b33d64
74,skipped_exists,3_rest_cook fish/2/coh_2.png,3_rest_cook fish/2/coh_2.jpg,2747294,1024,1536,sRGB,285096,1024,1536,sRGB,cb9dcba755bae2c8ae37236d1e429305c45d933346082fdbd9fbfac3e6acc451
75,skipped_exists,3_rest_cook fish/2/end_coh_it.png,3_rest_cook fish/2/end_coh_it.jpg,2965232,1024,1536,sRGB,353712,1024,1536,sRGB,68486f3d105866530b2ad8585035a856bbe8f4178bca059b8b9df3f395149a18
